document_id,building,relative_path,filename,extension,size_bytes,last_modified,has_text
.DS_Store,UNKNOWN,.DS_Store,.DS_Store,,6148,2025-12-03T13:19:07,False
Exchequers_Court/1.0 Architectural (File 3).pdf,Exchequers_Court,Exchequers_Court/1.0 Architectural (File 3).pdf,1.0 Architectural (File 3).pdf,.pdf,153014694,2025-12-03T02:12:00,False
"Exchequers_Court/5 Year Fixed Wiring Tests, Landlord, Conflex Sungard Testing Done 02.pdf",Exchequers_Court,"Exchequers_Court/5 Year Fixed Wiring Tests, Landlord, Conflex Sungard Testing Done 02.pdf","5 Year Fixed Wiring Tests, Landlord, Conflex Sungard Testing Done 02.pdf",.pdf,5879817,2025-12-03T02:13:00,True
"Exchequers_Court/Exchequer Court Vol 12, Appraisal & Testing of Retained Elements, Waterman Partnership, Supp Rep.pdf",Exchequers_Court,"Exchequers_Court/Exchequer Court Vol 12, Appraisal & Testing of Retained Elements, Waterman Partnership, Supp Rep.pdf","Exchequer Court Vol 12, Appraisal & Testing of Retained Elements, Waterman Partnership, Supp Rep.pdf",.pdf,10438382,2025-12-03T02:14:00,True
Exchequers_Court/Close Control Air Conditioning.pdf,Exchequers_Court,Exchequers_Court/Close Control Air Conditioning.pdf,Close Control Air Conditioning.pdf,.pdf,2366878,2025-12-03T02:14:00,True
Exchequers_Court/7.1 Atria Curtain Walling.pdf,Exchequers_Court,Exchequers_Court/7.1 Atria Curtain Walling.pdf,7.1 Atria Curtain Walling.pdf,.pdf,21087475,2025-12-03T02:14:00,False
Exchequers_Court/Water Hygiene Log Book & Policy Document (File 4).pdf,Exchequers_Court,Exchequers_Court/Water Hygiene Log Book & Policy Document (File 4).pdf,Water Hygiene Log Book & Policy Document (File 4).pdf,.pdf,11491964,2025-12-03T02:14:00,True
"Exchequers_Court/Trident, Water Services Logbook.pdf",Exchequers_Court,"Exchequers_Court/Trident, Water Services Logbook.pdf","Trident, Water Services Logbook.pdf",.pdf,17269390,2025-12-03T02:14:00,True
"Exchequers_Court/6.4, Landscaping (FNSF00059).pdf",Exchequers_Court,"Exchequers_Court/6.4, Landscaping (FNSF00059).pdf","6.4, Landscaping (FNSF00059).pdf",.pdf,51758907,2025-12-03T02:13:00,False
Exchequers_Court/3.0 Structural (File 1).pdf,Exchequers_Court,Exchequers_Court/3.0 Structural (File 1).pdf,3.0 Structural (File 1).pdf,.pdf,44377284,2025-12-03T02:13:00,False
Exchequers_Court/1286 Coms File.pdf,Exchequers_Court,Exchequers_Court/1286 Coms File.pdf,1286 Coms File.pdf,.pdf,83064568,2025-12-03T02:12:00,True
Exchequers_Court/Distribution Board Check.pdf,Exchequers_Court,Exchequers_Court/Distribution Board Check.pdf,Distribution Board Check.pdf,.pdf,493335,2025-12-03T02:14:00,True
Exchequers_Court/Appraisal & Testing of Retained Elements (File 2).pdf,Exchequers_Court,Exchequers_Court/Appraisal & Testing of Retained Elements (File 2).pdf,Appraisal & Testing of Retained Elements (File 2).pdf,.pdf,849602,2025-12-03T02:14:00,True
"Exchequers_Court/Air-Conditioners, PKH-1.6, 2, 2.5, 3, 4FK(H)(S)A.pdf",Exchequers_Court,"Exchequers_Court/Air-Conditioners, PKH-1.6, 2, 2.5, 3, 4FK(H)(S)A.pdf","Air-Conditioners, PKH-1.6, 2, 2.5, 3, 4FK(H)(S)A.pdf",.pdf,3596437,2025-12-03T02:14:00,True
"Exchequers_Court/BLU 500 P AB, BLU 700 P AB, BLU 1000 P AB, BLU 1200 P AB, BLU 1400 P AB,.pdf",Exchequers_Court,"Exchequers_Court/BLU 500 P AB, BLU 700 P AB, BLU 1000 P AB, BLU 1200 P AB, BLU 1400 P AB,.pdf","BLU 500 P AB, BLU 700 P AB, BLU 1000 P AB, BLU 1200 P AB, BLU 1400 P AB,.pdf",.pdf,24797019,2025-12-03T02:14:00,True
Exchequers_Court/Appraisal & Testing of Retained Elements (File 1).pdf,Exchequers_Court,Exchequers_Court/Appraisal & Testing of Retained Elements (File 1).pdf,Appraisal & Testing of Retained Elements (File 1).pdf,.pdf,474764,2025-12-03T02:14:00,True
Exchequers_Court/Water Hygiene Log Book & Policy Document (File 1).pdf,Exchequers_Court,Exchequers_Court/Water Hygiene Log Book & Policy Document (File 1).pdf,Water Hygiene Log Book & Policy Document (File 1).pdf,.pdf,12807269,2025-12-03T02:14:00,True
"Exchequers_Court/BMS Equipment Upgrade, Exchequer Court, 33 St Marys Court, London, EC3A 8AA, File 2 of 2.pdf",Exchequers_Court,"Exchequers_Court/BMS Equipment Upgrade, Exchequer Court, 33 St Marys Court, London, EC3A 8AA, File 2 of 2.pdf","BMS Equipment Upgrade, Exchequer Court, 33 St Marys Court, London, EC3A 8AA, File 2 of 2.pdf",.pdf,33833136,2025-12-03T02:14:00,True
"Exchequers_Court/Exchequer Court Vol 11, Appraisal & Testing of Retained Elements, Waterman Partnership, Phase 6 Rep.pdf",Exchequers_Court,"Exchequers_Court/Exchequer Court Vol 11, Appraisal & Testing of Retained Elements, Waterman Partnership, Phase 6 Rep.pdf","Exchequer Court Vol 11, Appraisal & Testing of Retained Elements, Waterman Partnership, Phase 6 Rep.pdf",.pdf,20193534,2025-12-03T02:14:00,True
Exchequers_Court/1.0 Architectural (File 1).pdf,Exchequers_Court,Exchequers_Court/1.0 Architectural (File 1).pdf,1.0 Architectural (File 1).pdf,.pdf,170613356,2025-12-03T02:11:00,False
"Exchequers_Court/BMS Equiptment Upgrade, Exchequer Court, 33 St Mary Axe, File 1 of 2.pdf",Exchequers_Court,"Exchequers_Court/BMS Equiptment Upgrade, Exchequer Court, 33 St Mary Axe, File 1 of 2.pdf","BMS Equiptment Upgrade, Exchequer Court, 33 St Mary Axe, File 1 of 2.pdf",.pdf,48486018,2025-12-03T02:14:00,True
Exchequers_Court/2.0 Building Services.pdf,Exchequers_Court,Exchequers_Court/2.0 Building Services.pdf,2.0 Building Services.pdf,.pdf,53345392,2025-12-03T02:13:00,True
Exchequers_Court/Electrial Installation Testing (File 1).pdf,Exchequers_Court,Exchequers_Court/Electrial Installation Testing (File 1).pdf,Electrial Installation Testing (File 1).pdf,.pdf,2238482,2025-12-03T02:14:00,True
